Port,Protocol,Count
39182,tcp,3
14316,udp,6
60995,other,5
54024,udp,2
36,other,2
53927,other,3
13214,tcp,2
24084,other,4
1589,tcp,1
65415,other,2
25940,other,4
52465,udp,3
58171,tcp,2
62056,tcp,4
25592,tcp,3
5866,other,4
34990,tcp,4
37316,tcp,5
56341,tcp,1
11990,udp,5
62903,other,3
12757,udp,3
5079,other,3
1454,tcp,1
16964,other,2
59273,udp,1
2820,udp,4
62320,tcp,5
39150,other,3
44795,other,1
18878,other,3
48580,tcp,1
32673,udp,2
64237,tcp,8
54072,tcp,2
31916,other,3
14587,tcp,2
58745,tcp,1
16034,other,2
7110,other,6
16633,tcp,4
51262,other,3
37850,other,7
10087,other,4
18240,tcp,4
18543,other,5
22125,tcp,9
59050,udp,2
29778,tcp,4
16194,tcp,2
20079,tcp,3
53771,other,2
54295,tcp,1
28405,tcp,3
27948,tcp,3
5417,tcp,1
31637,other,4
19007,tcp,3
63693,tcp,2
8836,tcp,2
54102,other,3
4884,other,5
2096,other,2
6567,udp,2
59266,other,4
17296,udp,3
34942,udp,1
24529,tcp,2
61047,other,3
8349,udp,4
47635,other,3
45161,tcp,5
55326,tcp,3
17783,udp,3
49347,tcp,4
23985,tcp,3
64433,other,4
35709,tcp,1
45126,other,4
3635,tcp,1
31523,tcp,5
31300,udp,4
4163,udp,2
15953,udp,3
29507,udp,3
11168,tcp,6
23431,other,2
9570,other,3
8613,udp,2
11800,other,5
58258,udp,3
17016,other,6
32896,udp,1
14851,tcp,2
61977,other,2
23498,udp,2
1827,other,2
25010,other,3
25057,udp,3
19342,udp,2
56699,tcp,3
40434,udp,1
51541,other,1
23710,other,1
58948,other,2
31036,udp,4
16410,tcp,3
43853,udp,4
34455,udp,2
10975,tcp,2
15618,tcp,2
24835,other,4
41812,udp,3
50014,other,3
65475,tcp,5
48679,tcp,5
23623,other,2
885,tcp,1
32186,udp,3
44460,other,4
59179,other,2
39485,other,4
54371,udp,2
34694,other,1
36602,other,1
44792,udp,5
45336,tcp,3
11731,tcp,3
60449,tcp,5
64724,tcp,4
7396,other,2
9017,udp,3
13960,tcp,1
2381,tcp,3
6184,other,2
21310,udp,1
27997,other,4
29192,other,1
3858,tcp,5
11866,udp,3
28049,other,7
56029,udp,3
35709,udp,1
59458,other,1
37575,tcp,2
56754,other,2
43317,other,1
57966,other,7
65427,udp,2
837,udp,1
16892,udp,1
9428,tcp,4
54388,other,3
27151,udp,1
31300,tcp,8
41860,tcp,3
3495,udp,4
49530,other,1
53176,other,3
50472,other,4
64361,udp,2
51684,other,4
9065,tcp,3
27470,other,2
41688,other,3
41584,udp,4
31990,other,2
56077,tcp,3
8836,udp,2
32549,tcp,3
21011,udp,3
33229,tcp,3
62029,other,3
7722,tcp,4
35394,udp,1
28279,other,5
38689,tcp,4
10229,udp,2
18116,tcp,1
43630,udp,4
5904,tcp,3
13912,udp,1
59760,tcp,7
22173,tcp,1
10874,other,1
1163,other,3
5676,tcp,2
51873,udp,1
31571,tcp,7
65176,tcp,1
19390,udp,2
37527,udp,2
39764,other,4
36760,udp,1
3013,tcp,5
18351,other,3
5541,udp,2
50982,udp,2
63699,other,2
35047,tcp,4
57232,tcp,4
45269,other,1
41947,tcp,1
47653,tcp,3
31782,tcp,2
12596,other,2
40018,other,4
17958,udp,1
26606,other,7
47864,udp,3
46231,other,1
62977,udp,2
45913,other,3
14504,other,1
64660,udp,1
24698,other,3
11021,udp,1
61863,udp,3
46973,tcp,2
6935,other,4
31302,other,1
62711,other,3
52206,tcp,2
41161,other,4
19753,tcp,1
25679,udp,2
15982,other,6
49910,udp,1
36781,other,1
59712,udp,1
42041,tcp,1
41150,udp,2
44879,udp,2
3549,other,2
27204,other,2
10939,tcp,7
11205,other,4
55138,udp,1
63221,other,2
44932,tcp,4
53579,udp,2
38255,tcp,3
44445,tcp,3
58123,tcp,2
49829,other,2
54511,udp,2
38045,other,1
54734,tcp,2
27773,tcp,4
38466,udp,3
39892,tcp,3
52688,tcp,3
3480,other,6
49423,udp,1
9304,other,6
38829,tcp,3
21536,other,3
8174,tcp,1
40843,other,1
10840,udp,3
42886,tcp,3
39621,tcp,4
33488,tcp,2
48268,udp,5
21449,other,1
29905,other,3
57666,udp,2
14312,other,1
26327,other,3
38324,other,4
59123,other,4
34280,tcp,1
21380,other,4
22592,other,1
30145,tcp,1
11292,udp,4
6866,udp,4
34021,tcp,4
25978,udp,3
54957,udp,1
50349,other,3
53843,tcp,3
52330,tcp,2
25153,other,3
52858,other,1
55419,other,1
10006,tcp,2
7945,udp,2
47377,udp,3
24500,other,5
33739,udp,5
40700,other,2
1406,udp,5
3272,tcp,2
1888,tcp,2
35123,udp,2
37798,udp,2
32377,other,2
41074,other,4
23958,other,3
50284,tcp,3
42399,tcp,2
9639,other,2
46275,tcp,6
34428,other,3
17659,udp,6
28090,tcp,5
31165,other,2
55673,tcp,7
2122,tcp,1
20690,udp,2
18626,udp,4
37168,other,3
27362,udp,3
25296,other,2
63868,udp,3
62754,tcp,3
50206,other,2
17474,other,1
32098,other,3
2919,udp,4
18686,other,1
52715,other,1
1490,udp,4
36912,tcp,1
29192,udp,1
8960,tcp,1
45559,udp,3
43862,other,2
59861,other,2
34006,other,1
56288,udp,2
34866,tcp,2
22384,tcp,1
55262,udp,7
15032,tcp,3
13648,tcp,7
22871,other,7
26922,tcp,2
46287,other,2
24430,tcp,4
33077,udp,2
47499,other,2
25575,other,1
42475,udp,3
26260,tcp,5
6308,udp,5
60537,other,1
16177,other,2
17524,tcp,4
3224,udp,3
49471,tcp,1
64584,tcp,2
27662,other,3
46925,udp,2
34886,other,3
39844,udp,3
35968,udp,6
7100,udp,5
41373,tcp,1
55186,tcp,1
7993,tcp,4
43583,other,2
12323,tcp,3
29367,udp,3
46566,other,3
30632,tcp,1
44057,other,4
18451,udp,1
175,udp,1
10277,tcp,2
398,tcp,4
31160,udp,4
6356,tcp,3
5628,udp,3
9727,tcp,1
47443,other,1
42627,tcp,5
23638,tcp,6
63364,other,2
7458,udp,2
25309,other,5
23016,udp,1
13473,tcp,3
6600,other,2
41496,other,2
9504,udp,4
49952,other,1
46351,udp,4
22189,other,3
41325,udp,2
44521,udp,1
5054,udp,2
35833,tcp,2
24166,udp,1
13425,udp,2
14647,other,3
1178,udp,2
52031,tcp,1
33564,udp,3
14770,other,8
38207,udp,2
47605,udp,1
614,tcp,2
10731,other,3
58382,tcp,2
5723,other,1
26435,tcp,2
37993,other,1
47164,other,1
43729,udp,1
65128,udp,3
43739,other,1
28616,udp,3
9288,udp,4
19218,udp,1
64097,tcp,5
23064,tcp,5
21234,tcp,2
12417,other,1
50723,udp,4
21721,tcp,3
30368,udp,2
38765,udp,1
25110,tcp,3
31724,other,4
30847,other,3
32042,other,4
33129,other,5
8250,udp,2
40071,udp,4
17208,other,2
56140,other,2
14727,tcp,1
59149,tcp,3
19717,other,2
12171,udp,3
4861,udp,2
37440,udp,4
36515,other,4
23902,other,2
50236,udp,4
5899,udp,2
35610,udp,1
12138,other,3
28042,udp,3
3214,other,3
31734,udp,2
15255,udp,1
4692,other,2
22336,udp,2
24389,tcp,4
24653,udp,3
20777,udp,2
33787,tcp,3
26212,udp,1
11379,udp,1
6691,udp,3
9483,other,1
4526,tcp,3
19705,udp,4
8402,tcp,2
34818,udp,2
23551,tcp,3
18674,tcp,1
14153,tcp,1
2967,tcp,1
27539,other,2
14926,other,2
51586,tcp,2
3711,tcp,1
22326,other,4
12810,tcp,2
21457,udp,2
50495,udp,1
28963,tcp,4
20777,tcp,3
42962,tcp,2
3165,other,2
40482,udp,2
8098,tcp,3
50472,tcp,4
6691,tcp,1
58681,udp,2
6971,other,2
63645,tcp,1
36496,udp,3
33516,udp,3
9447,other,4
45871,tcp,3
22605,other,2
65451,other,1
27801,udp,1
15742,udp,4
36473,tcp,2
10838,other,2
19517,udp,2
18403,udp,5
5189,tcp,5
17037,tcp,1
6620,tcp,2
20706,tcp,5
12833,udp,1
58610,udp,3
28608,other,3
11308,tcp,6
1231,udp,2
3444,other,5
48532,tcp,2
57179,udp,1
49212,udp,1
57930,tcp,5
29507,tcp,2
38905,tcp,4
22460,udp,2
12059,udp,1
22554,other,3
53963,other,2
12788,other,3
56370,other,3
15195,other,5
39342,other,2
42914,udp,5
33564,tcp,3
47118,tcp,2
31084,udp,1
20729,udp,1
60959,other,2
6041,other,3
60302,udp,2
50436,other,2
30855,udp,2
9552,udp,1
41074,tcp,2
45894,udp,2
24118,udp,4
7023,other,2
21980,udp,3
6643,udp,5
60202,other,8
12582,udp,3
23275,tcp,1
56718,other,4
49283,udp,1
48461,other,2
12881,tcp,4
44882,other,2
3982,udp,7
52981,other,3
36425,udp,2
51538,udp,1
45823,udp,4
60936,udp,4
17560,tcp,4
19999,udp,1
50013,udp,3
27027,udp,2
46351,tcp,2
24276,other,4
64049,udp,5
53719,udp,4
7869,tcp,4
23204,tcp,2
59496,tcp,6
30704,other,4
56516,tcp,2
50050,other,2
49694,udp,7
18862,tcp,1
11299,other,1
30425,other,2
27075,tcp,2
39114,other,3
43554,udp,4
62152,other,3
48740,other,2
49260,tcp,1
52474,other,1
26136,udp,2
58334,udp,3
25240,other,2
13435,other,2
51749,tcp,1
15331,udp,3
29297,other,1
45460,tcp,4
15790,other,3
32849,other,1
26184,tcp,1
42527,other,5
62391,udp,2
33975,tcp,2
41297,tcp,2
28836,other,4
39134,tcp,2
29069,other,8
24577,tcp,4
15080,udp,1
9340,other,1
30193,udp,1
48392,udp,1
57790,udp,3
64800,tcp,1
42188,tcp,6
11678,udp,4
4351,tcp,1
34321,other,2
50157,other,4
50858,tcp,6
36745,other,3
41097,udp,1
46004,tcp,5
63282,udp,5
58821,tcp,5
13397,tcp,2
56998,tcp,1
40693,tcp,3
19629,tcp,3
57352,other,4
54247,tcp,2
40135,udp,3
34156,udp,1
50061,tcp,1
44844,other,4
18750,udp,4
60984,tcp,3
52952,udp,3
3500,udp,1
41026,udp,5
23686,tcp,4
64536,tcp,2
11942,udp,2
61117,tcp,3
7283,udp,5
45826,other,1
4426,other,1
14288,tcp,3
9409,other,5
56927,tcp,4
26222,other,2
47529,tcp,2
57631,other,1
31224,tcp,2
52753,other,1
40622,tcp,1
29806,udp,3
60350,tcp,1
11607,udp,2
16222,udp,6
37364,tcp,1
50424,udp,2
21344,other,1
13714,other,1
25620,udp,2
46762,tcp,4
38080,tcp,3
63328,other,6
36099,other,2
51492,other,3
19055,tcp,1
48093,tcp,3
60852,other,4
5752,udp,1
14851,udp,4
31867,other,7
51646,other,1
8661,udp,2
54053,other,2
8912,udp,1
12225,other,5
19078,udp,3
14734,other,2
53400,other,2
53480,tcp,3
16146,tcp,2
38007,other,3
38132,other,1
34455,tcp,5
10975,udp,5
50647,udp,4
63049,other,2
53193,tcp,1
46638,tcp,5
46227,tcp,3
44932,udp,2
49722,other,4
7061,other,4
35534,udp,2
28740,tcp,1
60573,other,3
37387,udp,2
60226,tcp,7
44011,tcp,1
33589,other,4
21306,other,1
6009,tcp,3
8427,other,4
55122,other,2
4602,tcp,1
736,other,4
1589,udp,2
20566,udp,4
15179,tcp,2
43440,other,3
32004,other,2
14455,other,4
62056,udp,1
28172,other,1
45113,tcp,2
23661,other,2
32602,tcp,3
41249,udp,2
37316,udp,2
56341,udp,2
49834,tcp,3
21967,udp,1
58968,udp,4
51418,other,2
5636,other,3
7534,udp,3
11990,tcp,2
48045,udp,1
19898,other,1
62320,udp,2
11655,tcp,4
4654,other,3
29890,udp,1
5761,other,2
36378,other,1
2040,other,6
25009,udp,6
32673,tcp,1
32780,other,2
59496,other,2
34407,udp,5
55549,tcp,4
59425,tcp,2
34080,other,1
54024,tcp,3
30096,other,1
8043,other,5
63422,tcp,5
43805,udp,3
64947,tcp,2
40183,tcp,4
46714,udp,2
56332,other,1
13062,udp,3
15157,other,2
28405,udp,4
2046,tcp,1
34799,other,5
36707,other,2
508,other,2
18885,udp,2
23227,udp,4
5265,udp,4
58841,other,5
31078,other,6
14364,udp,1
41536,udp,3
56699,udp,1
9141,udp,2
2069,udp,3
12757,tcp,3
57420,tcp,4
50348,tcp,1
6567,tcp,2
15716,other,4
24529,udp,5
34942,tcp,2
4315,tcp,2
22833,other,2
18814,udp,3
62591,tcp,1
13207,other,4
14587,udp,3
63172,other,5
46785,udp,1
35341,other,1
40986,other,3
63721,udp,2
64538,other,4
54323,udp,5
15689,udp,2
56439,other,1
19420,other,4
1498,other,1
631,other,10
11168,udp,3
6519,udp,1
47251,other,2
37803,udp,1
5482,other,3
57491,tcp,2
33927,udp,5
7511,tcp,2
20045,other,3
27948,udp,1
53878,other,4
19007,udp,3
23762,udp,3
19565,tcp,4
53767,tcp,4
32625,udp,3
63135,tcp,3
25057,tcp,7
19342,tcp,5
2333,tcp,2
25544,tcp,4
3127,other,5
179,other,2
50934,udp,1
21668,tcp,2
61872,other,4
43853,tcp,6
2704,other,3
48022,tcp,1
15618,udp,6
48512,other,2
8349,tcp,3
43547,other,2
56611,other,1
20324,other,4
60051,udp,3
27626,other,2
28476,udp,1
23815,other,2
62678,udp,5
54810,udp,5
3406,other,2
18240,udp,7
45412,udp,1
48233,other,2
20830,tcp,5
35725,other,2
15953,tcp,2
36014,udp,3
57156,tcp,3
3061,tcp,1
11432,tcp,2
20079,udp,6
33998,udp,1
7582,tcp,1
7991,other,1
51825,udp,3
21310,tcp,5
24653,tcp,1
3858,udp,2
22173,udp,3
33277,tcp,4
56029,tcp,1
74,other,3
4462,other,1
62678,tcp,2
5674,other,5
6886,other,4
39621,udp,1
3495,tcp,3
2744,tcp,1
15207,udp,1
37803,tcp,2
32597,tcp,7
41995,tcp,3
3084,udp,2
32186,tcp,2
18121,other,1
13330,other,2
14542,other,6
33229,udp,2
3250,other,3
57280,tcp,3
27996,tcp,3
45336,udp,3
2333,udp,3
11731,udp,2
60449,udp,1
18598,tcp,3
54734,udp,2
31829,other,6
62244,tcp,2
18116,udp,6
37440,tcp,2
60497,tcp,2
36830,other,3
45497,other,4
5676,udp,2
10279,other,3
51873,tcp,3
31571,udp,6
39692,udp,6
65176,udp,2
29380,tcp,2
46003,other,6
9428,udp,2
31760,other,5
49770,udp,1
39210,udp,4
27067,other,1
27151,tcp,1
24605,udp,5
45747,tcp,2
28129,tcp,3
36760,tcp,5
3013,udp,3
32972,other,2
9065,udp,3
9532,other,2
33640,udp,1
54782,tcp,2
12546,tcp,1
52907,other,2
49760,other,1
42838,tcp,2
48679,udp,1
24242,udp,3
45384,tcp,2
62267,udp,2
41947,udp,1
6133,tcp,4
32549,udp,2
2767,udp,4
35095,tcp,5
44808,other,2
36186,other,5
37398,other,2
5953,other,4
58197,other,3
9499,udp,1
44690,other,2
20219,tcp,3
60010,other,3
41513,tcp,3
51099,tcp,3
55035,other,1
42475,tcp,4
8174,udp,2
44082,udp,2
11818,udp,1
58557,udp,3
12569,udp,2
54983,other,1
59712,tcp,2
57443,udp,2
37527,tcp,2
41150,tcp,3
34280,udp,3
16928,other,3
36349,tcp,1
28923,other,6
11455,udp,1
50982,tcp,3
55625,tcp,1
57232,udp,2
41584,tcp,3
20853,udp,3
36553,other,3
58194,udp,4
50999,other,1
33006,tcp,7
23199,tcp,4
55314,other,1
14775,tcp,2
42404,tcp,2
17958,tcp,3
54511,tcp,4
63158,udp,6
5242,tcp,6
2109,other,6
64660,tcp,7
50244,other,5
9476,tcp,2
55262,tcp,5
49159,udp,3
3447,udp,1
54300,tcp,2
52666,other,4
42675,tcp,4
32115,tcp,2
1406,tcp,4
39306,other,2
65427,tcp,1
6978,tcp,2
44011,udp,3
34236,other,3
47405,other,3
18400,other,1
18164,tcp,2
40948,other,3
50911,tcp,1
49637,other,3
36960,tcp,3
28329,tcp,4
35047,udp,4
27562,tcp,3
55138,tcp,3
42335,other,2
60765,other,1
54371,tcp,3
17273,tcp,4
47213,other,3
44445,udp,4
57736,other,4
4338,udp,2
53480,udp,3
36832,other,3
12709,udp,2
1300,other,1
39892,udp,5
42143,other,2
32386,tcp,1
49423,tcp,1
20132,tcp,5
31952,other,4
26260,udp,6
19489,tcp,4
16509,tcp,2
37798,tcp,2
43634,other,2
23351,udp,2
31224,udp,1
41125,other,2
50284,udp,1
58047,tcp,6
19705,tcp,3
44980,tcp,4
34818,tcp,3
41660,udp,3
49078,other,4
63134,other,1
10961,other,4
12310,other,3
2193,udp,6
64346,other,5
13522,other,1
22795,tcp,1
11292,tcp,2
4351,udp,1
10541,tcp,2
25978,tcp,4
18313,other,6
2170,tcp,2
20155,udp,1
29943,other,5
40693,udp,2
50695,tcp,3
29384,other,6
10006,udp,5
12031,other,3
38717,udp,7
63413,other,1
64625,other,3
13243,other,3
31295,udp,3
29319,udp,6
49857,udp,1
50500,udp,3
58334,tcp,4
33077,tcp,4
52031,udp,7
40794,other,1
35171,udp,1
22518,other,2
47605,tcp,3
28887,tcp,4
43729,tcp,1
59448,udp,1
14440,udp,2
35582,tcp,3
46925,tcp,3
59935,udp,2
49136,tcp,4
4749,tcp,2
28616,tcp,2
53891,tcp,4
41373,udp,2
10564,udp,3
2122,udp,7
10054,tcp,1
43509,other,7
31782,udp,5
9255,other,1
20009,other,2
15752,other,1
22384,udp,1
11021,tcp,5
28087,other,5
62116,other,4
14540,other,2
28042,tcp,1
24166,tcp,3
27432,other,5
56247,other,2
33787,udp,3
30619,other,3
58756,other,3
19976,tcp,4
3224,tcp,2
3982,tcp,4
28839,udp,2
14798,udp,3
50771,udp,2
58534,tcp,4
33029,udp,3
18674,udp,3
32462,udp,8
55214,udp,5
19218,tcp,1
7100,tcp,5
54658,tcp,2
14153,udp,3
36983,udp,1
20690,tcp,4
6156,udp,2
18451,tcp,2
27098,udp,3
56526,other,3
23294,other,5
9534,other,3
27711,other,2
28085,other,1
27514,udp,2
42627,udp,3
23638,udp,1
7458,tcp,1
38695,other,1
30855,tcp,6
13473,udp,3
41102,udp,1
15349,other,3
54015,other,2
22641,other,3
22871,udp,5
19131,tcp,2
11221,tcp,2
15255,tcp,2
51454,other,2
63569,tcp,4
42427,udp,2
15742,tcp,3
24389,udp,3
35533,other,1
11866,tcp,3
42698,udp,1
32262,udp,2
17103,other,5
25907,tcp,1
41860,udp,2
30463,other,1
23551,udp,2
46303,udp,2
43632,other,2
27585,udp,1
33024,other,2
19612,other,5
264,other,3
2967,udp,2
64612,udp,2
23064,udp,1
25202,other,5
29367,tcp,4
51733,other,2
3319,other,4
41123,other,1
30368,tcp,1
18187,udp,2
38765,tcp,3
36712,udp,3
12033,other,4
10277,udp,2
27314,udp,4
6356,udp,2
48425,other,3
43355,other,3
14727,udp,4
56524,other,1
20132,other,1
27434,other,2
7945,tcp,3
3424,tcp,2
13960,udp,3
62120,udp,7
23686,udp,2
29751,other,1
45871,udp,2
19985,other,3
56975,tcp,2
61528,udp,4
23538,other,1
19517,tcp,2
60074,udp,3
18403,tcp,1
35305,other,1
49235,udp,5
12470,udp,4
20706,udp,2
46336,other,1
48121,udp,5
58103,other,3
23574,tcp,5
17014,tcp,2
55861,tcp,3
22460,tcp,1
33153,udp,3
5828,other,2
44257,tcp,3
1642,tcp,2
39768,udp,2
51838,other,3
53655,tcp,2
4140,tcp,1
10764,udp,5
44369,udp,3
63282,tcp,6
42551,udp,3
40807,other,4
53767,udp,5
40054,other,1
60027,other,2
28552,udp,5
19629,udp,8
43143,tcp,3
26894,tcp,1
53632,udp,2
24920,other,1
25780,tcp,3
52541,tcp,2
61188,udp,3
11576,other,2
1673,other,2
6643,tcp,1
38130,other,5
28915,tcp,6
20170,other,4
47577,tcp,3
48988,other,5
14176,tcp,2
7955,other,1
15491,tcp,5
31865,other,1
19999,tcp,4
32972,tcp,2
57582,other,3
14685,other,2
20366,udp,5
12810,udp,5
7869,udp,3
54473,other,1
23204,udp,4
30005,other,2
40845,udp,4
54017,other,1
36696,other,1
45049,tcp,3
13402,tcp,5
17858,other,1
22049,udp,2
60302,tcp,3
5166,tcp,6
22800,tcp,5
39869,other,1
31447,udp,3
19542,tcp,2
28940,tcp,3
16382,tcp,1
45354,other,2
29918,udp,3
33587,other,1
43120,udp,2
62830,tcp,1
55120,other,7
4549,udp,5
25707,udp,3
34323,other,1
33975,udp,1
5303,other,3
18702,udp,2
29806,tcp,3
50013,tcp,3
45671,tcp,4
18263,udp,4
48463,other,2
14419,other,2
18651,tcp,2
21621,other,3
30556,udp,4
17496,tcp,4
28490,other,2
35582,udp,7
30655,udp,4
12610,tcp,3
37950,udp,3
10305,tcp,6
21257,udp,4
61328,tcp,1
41720,other,1
17811,udp,2
29156,other,4
44234,udp,2
13724,tcp,2
49260,udp,3
16597,other,1
52561,other,4
59659,udp,2
36473,udp,5
5164,other,2
49914,other,3
14288,udp,5
19154,udp,2
26184,udp,1
20834,other,4
49724,other,2
18315,other,3
25381,other,2
13884,tcp,2
63011,udp,4
10787,tcp,3
36273,tcp,1
58090,other,3
46762,udp,4
582,other,4
41268,other,3
4321,other,2
43706,tcp,1
11678,tcp,2
37727,tcp,2
50495,tcp,3
42252,tcp,1
47318,other,3
43343,udp,2
51650,tcp,3
41097,tcp,1
60297,udp,5
65453,other,2
51949,tcp,3
52741,udp,3
13397,udp,4
15206,other,2
15765,udp,5
60957,other,3
27075,udp,3
901,udp,2
22795,udp,2
34513,other,3
34308,tcp,1
32338,udp,5
40944,udp,1
25521,tcp,3
2533,tcp,4
27577,other,2
37603,udp,8
40670,tcp,5
38877,udp,5
44846,other,3
33062,other,4
30579,tcp,1
15179,udp,6
30809,other,3
24468,other,2
27029,other,3
43044,tcp,7
37364,udp,3
48468,tcp,3
49110,other,2
27661,udp,2
26977,other,3
21295,other,2
13361,udp,1
25293,udp,2
61305,udp,2
55960,tcp,3
14874,udp,2
5752,tcp,3
48510,other,3
19753,other,2
20695,other,3
59912,tcp,3
48344,udp,3
7215,other,2
50934,tcp,4
13701,udp,4
56334,other,2
13471,other,2
14077,tcp,1
57742,udp,5
63493,udp,5
23475,tcp,4
62201,other,2
31272,tcp,2
42719,other,4
16123,tcp,1
20853,tcp,1
49981,udp,1
5217,udp,7
12734,tcp,6
27796,udp,3
16262,other,5
57316,other,3
30883,other,3
48070,tcp,2
63721,tcp,2
3658,udp,2
7047,udp,1
19371,other,4
57866,tcp,3
12558,other,6
65310,other,1
15930,tcp,1
64947,udp,1
29479,udp,2
3252,other,2
43366,tcp,4
51034,other,3
41736,udp,3
38275,other,2
38080,udp,1
17244,other,5
52299,other,4
61749,other,4
17389,other,2
50261,tcp,4
10688,tcp,4
7534,tcp,2
48045,tcp,4
64285,udp,1
21677,other,6
63845,tcp,3
33899,tcp,1
26595,other,1
22683,tcp,2
13285,tcp,1
58100,tcp,1
33640,tcp,2
2529,other,2
30550,other,2
22660,udp,2
49882,tcp,6
47863,other,3
28476,tcp,2
61840,tcp,2
41759,tcp,2
63279,other,1
30779,udp,1
54323,tcp,2
15889,tcp,1
27903,other,3
39111,tcp,5
17712,udp,2
13062,tcp,2
2046,udp,2
6289,other,2
16481,tcp,3
37339,udp,6
14350,other,2
18885,tcp,1
60622,other,2
32138,tcp,1
46737,udp,5
59250,tcp,1
42181,other,3
41536,tcp,4
46686,tcp,1
57643,tcp,2
63731,other,2
48293,tcp,1
44424,other,2
37288,tcp,4
50348,udp,2
40282,udp,2
55455,other,4
36148,other,5
59825,other,1
28205,udp,6
15280,other,4
13262,udp,2
37874,tcp,4
18771,other,2
51369,other,1
62679,other,6
46463,tcp,1
39920,tcp,1
39257,other,3
52442,tcp,3
61089,udp,5
15689,tcp,1
8197,udp,7
55073,other,1
57156,udp,3
14516,tcp,1
2147,other,5
46001,other,6
24290,tcp,5
17935,tcp,4
8798,other,1
63135,udp,7
43442,other,1
59473,tcp,1
19078,tcp,2
9141,tcp,2
29578,udp,2
44955,udp,2
38976,udp,2
52229,udp,1
50387,other,5
56054,tcp,4
41863,other,3
58843,other,1
23914,tcp,1
61627,udp,4
19909,other,3
5952,udp,4
26159,udp,4
65452,tcp,4
16681,udp,2
26030,other,1
27242,other,4
16264,other,2
60198,udp,1
22411,other,3
18187,tcp,7
11754,udp,2
37141,udp,7
56851,tcp,2
65498,udp,2
