dstport,protocol,tag
63341,udp,sv_P1
4692,udp,email
57181,tcp,sv_P1
15164,tcp,sv_P1
13246,icmp,sv_P4
9684,udp,sv_P1
49047,icmp,email
24225,icmp,email
38829,tcp,email
40976,tcp,sv_P1
41646,udp,email
63066,tcp,sv_P3
3631,icmp,email
44616,udp,sv_P3
41705,tcp,sv_P5
32578,icmp,sv_P3
22838,udp,sv_P4
24124,udp,sv_P3
44627,icmp,sv_P2
21726,icmp,sv_P2
19227,icmp,email
13011,icmp,sv_P4
23673,tcp,sv_P2
43363,tcp,sv_P1
31609,icmp,sv_P2
39927,udp,email
38071,tcp,sv_P5
53174,udp,sv_P1
28107,icmp,sv_P3
39109,icmp,sv_P1
26544,icmp,sv_P2
26167,tcp,sv_P5
6171,udp,email
45325,udp,email
10071,tcp,sv_P5
25728,tcp,sv_P2
7870,tcp,email
58920,tcp,sv_P2
47846,udp,sv_P1
5527,udp,sv_P3
11037,tcp,sv_P4
50343,udp,sv_P2
29303,udp,sv_P5
59053,icmp,sv_P1
62587,icmp,sv_P1
30209,icmp,sv_P5
48348,icmp,sv_P1
35294,udp,sv_P4
38177,icmp,sv_P2
45715,icmp,email
55129,udp,email
47239,icmp,sv_P3
8218,udp,sv_P2
17362,icmp,sv_P4
22973,udp,sv_P3
2710,icmp,sv_P4
6952,udp,sv_P3
22163,icmp,sv_P2
56260,udp,sv_P5
2357,icmp,sv_P3
32975,icmp,sv_P4
35492,udp,sv_P1
40264,icmp,email
18163,udp,sv_P5
56061,udp,email
5159,icmp,sv_P1
58092,udp,sv_P2
4923,icmp,sv_P1
53626,icmp,email
33358,udp,sv_P5
60017,icmp,sv_P2
48629,udp,sv_P5
31780,udp,sv_P2
42290,udp,email
38989,icmp,sv_P3
32671,icmp,email
27031,icmp,sv_P2
40482,tcp,sv_P4
35825,tcp,sv_P2
55863,tcp,sv_P5
33837,icmp,sv_P1
31843,tcp,sv_P1
5545,tcp,sv_P2
15698,icmp,email
13371,tcp,sv_P3
31897,tcp,sv_P2
51625,icmp,sv_P3
53182,icmp,sv_P4
57505,tcp,sv_P3
54676,udp,sv_P5
43916,icmp,email
2666,icmp,email
17662,udp,email
16016,tcp,sv_P5
11187,tcp,sv_P5
24345,udp,sv_P5
11663,tcp,sv_P4
45554,tcp,email
5978,udp,email
17910,udp,email
23919,udp,sv_P4
60820,tcp,sv_P5
5491,icmp,sv_P2
21469,tcp,sv_P1
17815,icmp,sv_P3
52820,icmp,email
56502,tcp,sv_P1
4775,tcp,sv_P5
43209,udp,sv_P1
34523,icmp,email
29825,udp,sv_P4
2064,tcp,sv_P5
29241,udp,sv_P4
1750,udp,sv_P4
12899,tcp,sv_P2
6000,tcp,sv_P2
65131,icmp,email
26888,icmp,sv_P5
24748,tcp,sv_P4
58781,udp,sv_P1
4226,udp,sv_P2
36918,tcp,sv_P1
61413,tcp,email
7747,tcp,email
9850,tcp,sv_P4
17152,tcp,sv_P5
11087,icmp,sv_P4
25876,tcp,email
46658,udp,email
12645,tcp,sv_P4
38297,tcp,sv_P3
44438,tcp,sv_P5
19645,tcp,sv_P1
20430,icmp,sv_P3
62539,udp,sv_P5
2511,udp,sv_P1
25700,tcp,sv_P1
60818,udp,sv_P2
5006,tcp,sv_P5
57763,icmp,email
25004,tcp,sv_P1
31412,tcp,sv_P2
55247,udp,sv_P4
39577,icmp,sv_P4
28516,udp,sv_P5
17699,udp,sv_P4
46203,tcp,sv_P4
58479,tcp,sv_P1
51287,udp,sv_P1
38168,udp,sv_P5
26091,udp,email
31562,icmp,email
22471,icmp,sv_P1
18362,tcp,sv_P3
61146,tcp,sv_P5
35864,icmp,sv_P4
54358,udp,sv_P2
31261,icmp,sv_P5
63952,icmp,sv_P1
61782,udp,sv_P1
33000,icmp,sv_P1
43939,udp,sv_P3
60259,udp,sv_P1
48712,udp,sv_P1
51728,udp,sv_P1
1906,udp,email
63377,udp,sv_P2
43016,icmp,sv_P2
7155,udp,sv_P1
21359,icmp,sv_P5
46536,tcp,sv_P2
42671,udp,sv_P2
12301,tcp,sv_P5
46624,udp,sv_P3
60928,udp,sv_P5
35443,icmp,email
37221,tcp,sv_P1
27115,udp,sv_P1
25337,udp,sv_P2
22015,tcp,sv_P5
3442,icmp,sv_P4
64734,udp,sv_P4
27895,udp,email
3152,udp,sv_P2
20092,udp,sv_P3
38131,tcp,sv_P2
38976,tcp,email
36918,tcp,sv_P5
30974,udp,sv_P2
16412,udp,sv_P2
28724,udp,sv_P1
50922,icmp,email
60415,tcp,sv_P2
29047,icmp,sv_P1
20774,udp,sv_P1
42939,icmp,sv_P3
39117,tcp,sv_P4
40976,udp,sv_P5
18814,udp,sv_P3
48935,tcp,email
23152,udp,email
29490,tcp,email
45404,tcp,sv_P1
9465,udp,email
64789,icmp,sv_P1
28214,tcp,email
39726,icmp,sv_P1
7523,udp,sv_P4
51556,tcp,sv_P4
29962,udp,email
35602,udp,sv_P5
461,udp,sv_P1
35923,tcp,email
51435,icmp,email
52755,udp,sv_P2
2694,tcp,sv_P2
42333,icmp,sv_P4
6567,udp,sv_P5
62563,udp,sv_P5
64257,tcp,sv_P2
50623,icmp,sv_P4
7796,tcp,sv_P5
14092,icmp,sv_P4
46296,tcp,email
11784,icmp,sv_P1
55249,tcp,sv_P4
26209,icmp,sv_P2
58790,udp,sv_P2
33163,udp,email
42206,icmp,email
20660,tcp,email
46487,icmp,sv_P2
52264,icmp,sv_P2
44221,icmp,sv_P5
26856,icmp,sv_P1
63609,icmp,sv_P4
16156,icmp,sv_P4
12882,udp,sv_P5
55705,icmp,sv_P4
62349,icmp,sv_P2
10010,icmp,sv_P2
6853,udp,sv_P5
33762,udp,sv_P5
49861,udp,email
18686,udp,sv_P4
6673,icmp,sv_P1
21198,tcp,email
52427,udp,sv_P1
47243,icmp,sv_P4
15697,udp,sv_P3
35917,icmp,sv_P5
5812,tcp,sv_P5
23447,icmp,sv_P3
1141,tcp,sv_P3
7906,udp,email
38163,icmp,sv_P4
41620,icmp,sv_P2
24977,tcp,sv_P5
64407,udp,sv_P2
52402,icmp,sv_P2
2532,tcp,sv_P4
7696,icmp,sv_P4
13774,udp,sv_P4
15356,tcp,sv_P2
54471,icmp,sv_P5
29037,tcp,email
20320,udp,sv_P5
29966,tcp,sv_P1
44358,tcp,sv_P1
60722,udp,sv_P5
28113,tcp,sv_P2
61826,udp,sv_P1
42266,tcp,sv_P5
48419,tcp,email
51322,icmp,sv_P2
1617,icmp,sv_P2
7769,tcp,sv_P3
58801,icmp,sv_P2
38051,udp,sv_P1
52438,udp,sv_P3
47779,udp,sv_P1
46297,udp,sv_P1
17377,tcp,sv_P5
60100,icmp,sv_P1
27165,udp,email
51988,udp,sv_P4
3051,icmp,sv_P2
47897,icmp,email
33528,tcp,email
32068,icmp,sv_P1
52127,udp,sv_P5
30069,icmp,sv_P4
30840,tcp,email
25267,icmp,sv_P5
61218,icmp,email
44053,udp,sv_P4
39029,tcp,sv_P5
31727,tcp,sv_P3
13608,icmp,sv_P3
35857,udp,sv_P4
24173,tcp,sv_P1
64463,udp,email
20635,icmp,sv_P1
5273,icmp,sv_P2
22943,icmp,email
53812,udp,sv_P2
45775,udp,email
60819,tcp,email
65109,tcp,email
20710,udp,sv_P2
27523,udp,sv_P4
42709,tcp,sv_P4
20864,udp,sv_P3
20991,icmp,sv_P2
56209,icmp,sv_P1
12478,icmp,sv_P4
35810,udp,sv_P5
60248,tcp,sv_P1
34058,tcp,sv_P4
44084,udp,sv_P2
50381,icmp,sv_P1
31916,icmp,sv_P5
27504,icmp,sv_P2
55515,udp,sv_P1
28457,icmp,email
18855,udp,sv_P2
8522,icmp,sv_P1
2732,udp,sv_P4
58423,udp,sv_P3
6625,icmp,sv_P5
56327,tcp,sv_P4
53328,udp,sv_P3
38088,tcp,sv_P4
35704,udp,email
56923,udp,sv_P4
23645,tcp,sv_P3
55107,udp,sv_P2
26459,icmp,sv_P3
43535,udp,email
20884,udp,sv_P4
25442,tcp,sv_P1
59271,icmp,sv_P1
55629,udp,sv_P3
38514,icmp,sv_P1
5677,tcp,email
44274,tcp,sv_P4
15125,icmp,email
50595,udp,sv_P4
871,udp,email
1576,udp,sv_P4
18406,udp,sv_P1
48156,tcp,sv_P1
64769,icmp,sv_P1
50302,udp,email
58179,tcp,email
35870,tcp,sv_P3
64373,udp,sv_P1
53675,tcp,email
23781,tcp,sv_P4
48164,tcp,email
35921,tcp,sv_P5
58977,udp,sv_P1
48651,icmp,sv_P2
3205,udp,sv_P1
60974,tcp,sv_P3
24286,tcp,sv_P3
57577,udp,sv_P5
24478,udp,sv_P5
4724,icmp,sv_P1
25729,icmp,email
27751,icmp,sv_P1
28371,tcp,sv_P5
49711,icmp,sv_P4
49336,tcp,sv_P2
3662,udp,email
48147,udp,sv_P4
10048,udp,sv_P2
22160,icmp,email
27258,icmp,email
8879,tcp,email
39128,icmp,sv_P3
7158,udp,sv_P5
49420,udp,sv_P1
58256,tcp,sv_P1
26709,udp,email
64766,tcp,sv_P5
1589,tcp,sv_P5
56031,icmp,sv_P3
19618,tcp,sv_P3
43469,icmp,sv_P3
37494,udp,sv_P2
30193,tcp,sv_P3
23664,udp,sv_P5
29537,icmp,sv_P1
35653,tcp,sv_P3
11336,udp,sv_P1
813,tcp,sv_P4
37380,udp,sv_P5
13778,udp,sv_P4
52070,udp,sv_P3
61957,icmp,email
11983,tcp,sv_P4
53925,tcp,sv_P3
19811,udp,email
42941,udp,sv_P3
20827,tcp,sv_P3
31136,tcp,sv_P5
46010,tcp,email
14850,udp,sv_P5
22106,tcp,sv_P5
44890,icmp,sv_P3
21785,udp,sv_P5
10442,tcp,sv_P3
24165,tcp,sv_P4
4226,tcp,email
11386,icmp,sv_P1
42524,icmp,email
24939,icmp,sv_P5
57923,tcp,sv_P5
17388,icmp,sv_P2
54022,icmp,sv_P2
18995,tcp,email
12193,tcp,sv_P1
30436,icmp,sv_P1
15955,udp,email
14214,udp,sv_P5
34572,icmp,sv_P4
13302,udp,sv_P2
42169,udp,sv_P1
16931,tcp,sv_P1
29322,icmp,sv_P3
19127,tcp,sv_P1
38840,tcp,sv_P2
51199,udp,sv_P4
29445,icmp,sv_P4
50867,icmp,sv_P1
53995,tcp,sv_P3
25606,udp,sv_P2
17660,tcp,sv_P4
30804,icmp,sv_P2
36355,icmp,sv_P5
13789,tcp,sv_P1
63413,icmp,sv_P4
40978,tcp,sv_P2
12642,udp,sv_P3
32898,udp,sv_P1
41575,icmp,sv_P1
53973,icmp,email
12132,udp,email
40629,udp,sv_P5
29529,icmp,sv_P5
27222,udp,sv_P3
53153,icmp,sv_P4
35422,udp,sv_P5
44104,tcp,sv_P5
4831,udp,sv_P5
57249,tcp,email
4138,udp,sv_P5
45585,icmp,sv_P5
54642,tcp,sv_P5
33235,udp,sv_P1
56328,tcp,sv_P2
4737,icmp,sv_P5
23283,tcp,email
50172,icmp,sv_P4
49261,tcp,sv_P3
29067,tcp,email
34862,udp,sv_P5
47668,tcp,sv_P4
58799,udp,sv_P3
16705,udp,sv_P3
37561,udp,email
42460,icmp,sv_P2
35909,udp,sv_P3
32254,udp,email
10416,tcp,sv_P4
45704,tcp,sv_P2
35360,tcp,sv_P5
60970,tcp,sv_P1
31617,udp,email
57851,icmp,sv_P1
63660,tcp,sv_P1
62995,icmp,email
63963,icmp,sv_P5
45699,icmp,sv_P5
40012,udp,sv_P1
34676,tcp,sv_P4
19478,icmp,sv_P1
26957,udp,sv_P3
14514,tcp,sv_P5
10404,udp,email
35020,icmp,sv_P3
63860,udp,sv_P5
23269,udp,sv_P3
14532,icmp,sv_P1
37446,tcp,sv_P2
46062,tcp,sv_P1
23687,tcp,sv_P1
57954,icmp,sv_P4
7162,tcp,sv_P1
19470,udp,email
14556,udp,sv_P5
6518,udp,sv_P4
39481,tcp,sv_P2
31293,tcp,sv_P5
52944,icmp,sv_P1
7620,udp,sv_P1
30118,udp,sv_P5
35232,tcp,email
60524,icmp,sv_P5
59101,icmp,sv_P1
25540,udp,sv_P5
29353,tcp,sv_P2
57525,tcp,sv_P2
25731,tcp,sv_P3
62684,udp,sv_P4
9130,tcp,sv_P1
54198,tcp,sv_P1
29645,icmp,sv_P5
51177,udp,email
53634,icmp,sv_P1
55056,icmp,sv_P1
57666,udp,sv_P2
41668,udp,sv_P5
57687,udp,email
13066,tcp,sv_P2
57318,tcp,sv_P3
35996,tcp,sv_P4
42409,tcp,sv_P2
11783,icmp,email
22401,icmp,sv_P2
59608,icmp,sv_P5
59023,tcp,sv_P3
24174,udp,email
59120,tcp,sv_P2
58251,icmp,sv_P2
43010,tcp,email
8946,icmp,sv_P4
59054,tcp,sv_P5
35179,tcp,sv_P1
55549,tcp,sv_P3
39255,udp,sv_P4
5342,icmp,sv_P2
17767,tcp,sv_P2
40679,udp,email
21066,icmp,sv_P3
7592,tcp,sv_P2
47934,icmp,sv_P2
50385,tcp,sv_P1
45480,icmp,sv_P5
30738,tcp,sv_P2
14673,icmp,sv_P3
7813,icmp,sv_P4
62660,icmp,sv_P4
5883,tcp,sv_P5
44411,tcp,sv_P4
62040,udp,sv_P4
27430,icmp,sv_P1
62502,icmp,sv_P4
21135,udp,sv_P3
51300,icmp,email
33550,tcp,sv_P2
21382,icmp,sv_P5
776,tcp,sv_P4
36799,udp,sv_P2
61785,icmp,sv_P3
20893,tcp,sv_P5
57958,icmp,sv_P3
15075,udp,sv_P3
8855,icmp,sv_P3
65100,tcp,sv_P4
58893,tcp,sv_P4
39908,udp,sv_P1
48371,icmp,sv_P2
53895,icmp,sv_P3
34326,udp,sv_P3
50371,tcp,sv_P2
33848,tcp,email
22618,udp,sv_P5
58364,tcp,sv_P4
30948,icmp,sv_P2
52044,icmp,sv_P3
28692,udp,email
59012,icmp,sv_P3
3616,tcp,email
63635,udp,sv_P2
9743,udp,sv_P5
10916,icmp,sv_P4
63503,udp,sv_P3
33996,tcp,sv_P4
39627,icmp,sv_P4
65135,icmp,email
57716,udp,sv_P1
30021,tcp,email
61298,tcp,sv_P4
46427,tcp,sv_P3
120,icmp,sv_P4
11445,tcp,sv_P3
52943,udp,sv_P1
1000,icmp,sv_P4
13254,icmp,email
54681,tcp,email
3330,icmp,sv_P2
34242,udp,sv_P5
20558,udp,sv_P1
50826,icmp,sv_P3
51400,tcp,sv_P2
21216,tcp,email
52927,icmp,sv_P2
46706,icmp,sv_P2
32415,tcp,sv_P1
2486,udp,sv_P3
1721,tcp,email
31790,tcp,sv_P2
46190,udp,sv_P5
11705,udp,sv_P4
64567,tcp,sv_P1
9163,udp,sv_P5
54181,tcp,sv_P1
17285,icmp,sv_P4
38835,tcp,sv_P1
32082,icmp,sv_P5
11177,udp,sv_P3
31340,udp,sv_P5
56493,udp,sv_P1
56363,udp,sv_P2
7180,icmp,sv_P2
51075,icmp,sv_P5
61496,icmp,email
1035,tcp,sv_P2
19411,tcp,sv_P4
12533,tcp,sv_P2
10633,tcp,email
1100,tcp,sv_P4
64839,icmp,sv_P2
31629,tcp,sv_P1
59613,udp,email
34606,icmp,email
15721,tcp,sv_P3
31482,icmp,sv_P5
22697,icmp,email
37029,tcp,sv_P4
32399,udp,sv_P1
56822,tcp,sv_P5
2510,icmp,sv_P4
26472,icmp,sv_P1
25128,icmp,sv_P3
22123,tcp,email
48611,tcp,sv_P3
27780,tcp,sv_P1
15172,icmp,sv_P3
43595,udp,email
10852,tcp,sv_P3
32599,udp,email
2674,udp,email
41995,tcp,sv_P4
64733,udp,email
6793,icmp,sv_P1
26714,tcp,sv_P2
43564,udp,sv_P5
16500,tcp,sv_P3
19563,tcp,sv_P5
6392,udp,sv_P5
30877,icmp,sv_P5
63662,tcp,sv_P1
46022,udp,sv_P2
23310,icmp,email
43428,tcp,sv_P3
10169,tcp,sv_P4
4758,tcp,sv_P1
43755,udp,sv_P1
46092,tcp,sv_P5
62638,icmp,sv_P1
53987,icmp,email
55987,tcp,sv_P2
14559,udp,sv_P5
8325,icmp,sv_P5
4810,udp,email
55763,icmp,email
16641,tcp,sv_P5
20761,icmp,sv_P1
5236,tcp,sv_P2
23021,udp,sv_P3
30516,icmp,sv_P1
9880,icmp,sv_P1
63770,udp,email
34299,tcp,sv_P3
53047,icmp,sv_P3
44435,udp,sv_P2
49877,tcp,sv_P4
61511,icmp,sv_P2
9414,udp,sv_P1
48984,icmp,sv_P1
42924,icmp,sv_P2
4197,udp,sv_P5
30848,tcp,sv_P1
12697,icmp,sv_P1
61601,icmp,sv_P4
62839,tcp,sv_P4
11570,icmp,sv_P2
56218,tcp,sv_P5
23630,icmp,sv_P5
43073,icmp,sv_P2
25985,tcp,sv_P1
15187,icmp,sv_P5
62309,udp,sv_P5
22416,udp,sv_P2
61413,icmp,email
63653,tcp,email
33749,udp,sv_P2
53722,icmp,sv_P2
39418,tcp,sv_P1
40972,udp,sv_P5
18730,udp,sv_P5
21328,udp,sv_P1
8300,udp,sv_P3
53752,tcp,sv_P2
23232,tcp,sv_P4
50492,udp,sv_P4
18445,udp,sv_P2
756,udp,email
23801,udp,sv_P3
60671,udp,email
26442,tcp,sv_P4
46026,tcp,sv_P4
5794,udp,sv_P4
17321,tcp,sv_P1
32950,tcp,email
8808,icmp,sv_P2
18433,udp,email
5487,tcp,sv_P5
9097,udp,email
2687,udp,sv_P5
24884,udp,email
48853,icmp,email
41215,udp,sv_P4
57946,icmp,sv_P2
40293,udp,email
7379,udp,sv_P1
52087,tcp,email
8087,udp,sv_P3
29473,tcp,sv_P4
28441,udp,sv_P5
63604,udp,sv_P3
40902,tcp,sv_P4
24295,icmp,sv_P1
34755,udp,sv_P4
40075,icmp,sv_P2
56602,icmp,sv_P5
64497,udp,email
2490,tcp,email
63190,tcp,sv_P2
56311,udp,email
2952,udp,sv_P2
41460,udp,sv_P5
56772,udp,sv_P1
2357,udp,sv_P4
22222,tcp,sv_P4
30654,tcp,sv_P4
24229,icmp,email
22261,tcp,email
6300,icmp,sv_P2
33055,udp,sv_P5
60068,tcp,sv_P4
15959,udp,sv_P4
55343,tcp,sv_P4
41826,udp,sv_P5
42264,icmp,sv_P1
52368,icmp,sv_P2
31798,udp,sv_P2
21038,icmp,sv_P1
27249,icmp,sv_P5
34633,tcp,sv_P2
61375,icmp,sv_P3
48474,udp,sv_P5
44979,icmp,sv_P3
11443,icmp,sv_P5
39044,icmp,sv_P5
25819,tcp,sv_P1
20267,tcp,email
34314,icmp,sv_P1
15792,udp,sv_P5
8140,icmp,sv_P3
22129,tcp,sv_P3
14031,icmp,sv_P5
45772,tcp,email
20394,icmp,sv_P4
19706,udp,sv_P1
33800,icmp,sv_P3
26750,tcp,sv_P3
62991,icmp,sv_P5
2894,udp,sv_P5
22065,udp,sv_P3
3915,udp,sv_P3
1450,tcp,sv_P2
52556,tcp,sv_P2
11919,udp,sv_P2
7671,udp,sv_P1
1184,icmp,sv_P1
23061,udp,sv_P5
18866,icmp,email
23010,tcp,sv_P4
30728,tcp,sv_P3
53519,udp,sv_P3
30586,tcp,sv_P4
8715,udp,sv_P3
22205,tcp,sv_P3
35942,tcp,sv_P1
8799,icmp,sv_P4
3949,icmp,sv_P5
58902,udp,email
48556,udp,sv_P2
6690,icmp,sv_P3
61695,icmp,sv_P1
38634,icmp,sv_P1
38636,icmp,sv_P5
43506,udp,sv_P5
8999,icmp,sv_P5
19025,icmp,sv_P1
58885,udp,sv_P5
19506,udp,sv_P3
38223,icmp,sv_P5
34115,udp,sv_P5
52444,udp,sv_P3
2272,udp,sv_P1
44351,udp,sv_P1
40369,udp,sv_P2
16857,udp,sv_P4
41137,udp,sv_P2
23714,udp,sv_P2
55933,icmp,email
34859,tcp,sv_P3
55141,icmp,email
52553,tcp,email
54508,icmp,sv_P3
63666,udp,email
14347,tcp,sv_P2
64908,icmp,sv_P5
10788,icmp,sv_P5
34664,udp,email
4587,tcp,sv_P1
14711,icmp,email
9850,tcp,sv_P4
42391,tcp,sv_P2
9538,tcp,email
62470,tcp,sv_P1
29635,icmp,sv_P4
6490,tcp,sv_P3
32839,tcp,email
40484,udp,sv_P1
53570,icmp,sv_P3
18268,tcp,email
62827,udp,sv_P1
34237,udp,email
33614,udp,sv_P3
28863,udp,sv_P3
65400,udp,sv_P2
63539,icmp,sv_P4
41413,tcp,sv_P3
60865,tcp,email
56792,udp,sv_P5
12089,tcp,sv_P3
42813,udp,sv_P1
34782,udp,sv_P4
44719,udp,email
23204,udp,sv_P5
34355,udp,sv_P3
10346,tcp,sv_P4
34377,tcp,sv_P3
5950,icmp,email
7860,udp,sv_P1
65180,udp,sv_P1
44799,tcp,sv_P5
46661,tcp,sv_P1
43152,icmp,sv_P1
29976,icmp,email
31859,tcp,email
60380,icmp,sv_P4
30960,icmp,sv_P4
10732,udp,sv_P5
10121,udp,sv_P4
59572,udp,sv_P4
25595,icmp,sv_P3
62302,udp,sv_P5
48411,icmp,sv_P2
30107,icmp,sv_P2
57590,icmp,sv_P3
34475,udp,sv_P5
36419,icmp,sv_P2
1989,udp,sv_P1
59799,icmp,sv_P2
23215,udp,sv_P3
45527,icmp,sv_P5
31566,icmp,sv_P4
494,udp,sv_P5
56634,tcp,sv_P2
47768,icmp,email
19209,udp,email
15202,icmp,sv_P5
2573,tcp,sv_P2
46368,icmp,sv_P2
58433,udp,sv_P3
36830,udp,sv_P4
49358,icmp,sv_P4
15451,tcp,email
29217,tcp,email
26166,udp,sv_P4
36900,udp,sv_P2
29933,tcp,sv_P1
10765,tcp,sv_P3
34215,udp,sv_P1
55631,udp,sv_P4
44681,tcp,sv_P2
60751,icmp,sv_P4
17204,udp,sv_P1
37592,icmp,sv_P2
6476,tcp,email
52427,icmp,sv_P3
14316,udp,sv_P1
35531,tcp,sv_P4
15945,tcp,email
4870,tcp,sv_P2
33653,udp,email
5105,tcp,sv_P5
58030,icmp,email
3668,tcp,sv_P3
25350,icmp,sv_P4
62887,icmp,sv_P2
16560,udp,sv_P2
29561,icmp,sv_P5
45221,tcp,sv_P1
9703,tcp,sv_P2
58090,icmp,sv_P2
32548,icmp,sv_P3
36896,icmp,sv_P4
60828,tcp,sv_P2
35614,udp,sv_P1
36723,udp,sv_P4
45157,icmp,sv_P2
44387,udp,sv_P3
23933,tcp,email
28787,icmp,sv_P3
64238,icmp,sv_P5
19695,tcp,sv_P1
39708,udp,sv_P5
23785,icmp,sv_P3
